queue_pos,developer_project,zone,cod,plate_mw,sum_cris,win_cris,sum_eris,win_eris,project_type,class_year,min_duration_hr,notes
617,"Watkins Glen Solar Energy Center, LLC Watkins Glen Solar",C,Apr-28,54.0,50.0,50.0,50.0,50.0,Solar,2019.0,,(2)
620,"North Side Energy Center, LLC North Side Solar",D,Apr-28,180.0,180.0,180.0,180.0,180.0,Solar,2019.0,,(2)
637,Flint Mine Solar LLC Flint Mine Solar,G,May-26,100.0,100.0,100.0,100.0,100.0,Solar,2019.0,,(2)
644,"Hecate Energy Columbia County 1, LLC Columbia County 1",F,Feb-27,60.0,60.0,60.0,60.0,60.0,Solar,2019.0,,(2)
670,SunEast Skyline Solar LLC SunEast Skyline Solar LLC,E,Apr-28,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (8)
704,"Bear Ridge Solar, LLC Bear Ridge Solar",A,Apr-27,100.0,100.0,100.0,100.0,100.0,Solar,2019.0,,(2)
710,Horseshoe Solar Energy LLC Horseshoe Solar,B,May-28,180.0,180.0,180.0,180.0,180.0,Solar,2021.0,,(2)
716,"EDF Renewables Development, Inc. Moraine Solar Energy Center",C,Oct-27,93.5,93.5,93.5,93.5,93.5,Solar,2023.0,,(2)
720,"Trelina Solar Energy Center, LLC Trelina Solar Energy Center",C,Apr-28,86.8,80.0,80.0,79.8,79.8,Solar,2019.0,,(2)
721,"Excelsior Energy Center, LLC Excelsior Energy Center",B,Nov-26,280.0,280.0,280.0,280.0,280.0,Solar,2019.0,,(2)
734,"ELP Ticonderoga Solar, LLC Ticonderoga Solar",F,Dec-26,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (7)
744,"Mitchell Energy Facility, LLC Magruder Solar",G,Apr-28,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (9)
774,"EDF Renewables Development, Inc. Tracy Solar Energy Centre",E,Nov-28,119.0,119.0,119.0,119.0,119.0,Solar,2023.0,,(2)
777,"White Creek Solar, LLC White Creek Solar",B,Nov-27,135.0,135.0,135.0,135.0,135.0,Solar,2023.0,,(2)
783,ConnectGen Chautauqua County LLC South Ripley Solar and BESS,A,Dec-27,270.0,270.0,270.0,270.0,270.0,Solar,2021.0,4.0,(2) (14)
800,"EDF Renewables Development, Inc. Rich Road Solar Energy Center",E,Apr-28,240.0,240.0,240.0,240.0,240.0,Solar,2023.0,4.0,(2) (4)
805,"Oxbow Hill Solar, LLC Oxbow Hill Solar",C,Dec-26,140.0,140.0,140.0,140.0,140.0,Solar,2021.0,,(2)
807,SunEast Hilltop Solar LLC Hilltop Solar,F,May-28,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (9)
811,Hecate Energy Cider Solar LLC Cider Solar,B,Jan-27,500.0,500.0,500.0,500.0,500.0,Solar,2021.0,,(2)
828,SunEast Valley Solar LLC Valley Solar,C,Nov-24,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (9)
832,"Granada Solar, LLC CS Hawthorn Solar",F,Dec-26,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (10)
833,"Dolan Solar, LLC Dolan Solar",F,Dec-26,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (10)
843,Sandy Creek Solar LLC NY37 Solar,E,Dec-26,20.0,,,,,Solar,,,(2)
848,SunEast Fairway Solar LLC Fairway Solar,E,Mar-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (9)
855,Bald Mountain Solar LLC NY 13 Solar,F,Jun-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (9)
863,Highbanks Solar LLC Highbanks Solar,B,Feb-26,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (11)
864,Greens Corners Solar LLC NY38 Solar,E,Dec-26,120.0,120.0,120.0,120.0,120.0,Solar,2021.0,,(2)
865,SunEast Flat Hill Solar LLC Flat Hill Solar,E,Dec-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (10)
880,"Brookside Solar, LLC Brookside Solar",D,May-28,100.0,100.0,100.0,100.0,100.0,Solar,2023.0,,(2)
882,"Riverside Solar, LLC Riverside Solar",E,Dec-27,100.0,100.0,100.0,100.0,100.0,Solar,2023.0,,(2)
883,"Garnet Energy Center, LLC Garnet Energy Center",B,Apr-28,200.0,200.0,200.0,200.0,200.0,Solar,2021.0,,(2)
885,SunEast Grassy Knoll Solar LLC Grassy Knoll Solar,E,Dec-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (10)
932,Hatchery Solar LLC Hatchery Solar,B,May-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (15)
950,Hemlock Ridge Solar LLC Hemlock Ridge Solar,B,May-27,200.0,200.0,200.0,200.0,200.0,Solar,2023.0,,(2)
953,"Sugar Maple Solar, LLC Sugar Maple Solar",E,Dec-27,127.0,125.0,125.0,125.0,125.0,Solar,2023.0,,(2)
995,Alabama Solar Park LLC Alabama Solar Park LLC,B,Oct-28,132.4,130.0,130.0,130.0,130.0,Solar,2023.0,,(2)
1000,SED NY Holdings LLC SunEast Flat Stone Solar LLC,E,Nov-26,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (15)
1003,Clear View LLC Clear View Solar,C,Dec-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (11)
1009,"Granada Solar, LLC Yellow Barn Solar",C,Dec-25,160.0,160.0,160.0,160.0,160.0,Solar,2023.0,,(2)
1015,"Granada Solar, LLC Somers Solar, LLC",F,Dec-26,20.0,,,,,Solar,,,(5)
1031,ConnectGen Montgomery County LLC Mill Point Solar,E,Dec-28,250.0,250.0,250.0,250.0,250.0,Solar,2023.0,4.0,(2) (5)
1039,SED NY Holdings LLC Morris Solar,E,Dec-25,20.0,0.0,0.0,20.0,20.0,Solar,,,(2) (15)
1047,SED NY Holdings LLC Millers Grove Solar,E,Dec-26,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (15)
1051,SED NY Holdings LLC Transit Solar,B,Dec-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (15)
1079,"sPower Development Company, LLC Somerset Solar",A,Mar-27,200.0,125.0,125.0,125.0,125.0,Solar,2023.0,,(2)
1080,"Mineral Basin Solar Power, LLC Mineral Basin Solar Power",C,May-28,450.9,401.6,401.6,401.6,401.6,Solar,2023.0,,(2)
1089,SED NY Holding LLC Flat Creek Solar,F,Nov-28,200.0,200.0,200.0,200.0,200.0,Solar,2023.0,,(2)
1115,SED NY Holdings LLC Flat Creek Solar 2,F,Nov-28,100.0,100.0,100.0,100.0,100.0,Solar,2023.0,,(2)
1151,"York Run Solar, LLC York Run Solar",A,Aug-26,93.0,90.0,90.0,90.0,90.0,Solar,2023.0,,(2)
1166,BR Project 1 LLC BR Benson Mines Solar,E,Oct-26,12.1,,,,,Solar,,,(2)
1183,Fort Covington Solar LLC NY125A- Fort Covington Solar,D,Aug-27,250.0,250.0,250.0,250.0,250.0,Solar,2023.0,,(2)
1184,Boralex US Development LLC NY125B- Two Rivers Solar,D,Aug-27,200.0,200.0,200.0,200.0,200.0,Solar,2023.0,,(2)
1188,"North Seneca Solar Project LLC North Seneca Solar Project, LLC",C,Sep-27,115.2,105.0,105.0,105.0,105.0,Solar,2023.0,,(2)
1329,ELP Granby Solar II LLC ELP Granby Solar II,C,Dec-26,20.0,20.0,20.0,20.0,20.0,Solar,,4.0,(2) (16) (17)
